Question,Answer
"What should farmers always use based on soil tests?",Farmers should always use appropriate fertilizer in the right quantity based on soil tests.
"What should farmers use to maintain soil fertility?",Farmers must use organic manures to maintain the fertility of the soil.
"Where should fertilizers be applied for maximum benefit?",Fertilizers should always be applied in the root zone instead of broadcasting.
"What is the judicious use of phosphatic fertilizers for?",Phosphatic fertilizers are used for proper root/shoot development and timely crop maturityespecially legumes.
"What should be used to reclaim acidic soil?",To reclaim acidic soilfarmers should use lime.
"What should be used for saline or usar soil?",For saline or usar soilfarmers should use gypsum.
"How can farmers adopt Participatory Organic Guarantee System (PGS  India) Certification?",Farmers can form a group of at least 5 and register with the nearest Regional Council or Centre of Organic Farming.
"What assistance does ISOPOM provide for gypsum, pyrite, lime, or dolomite?",ISOPOM provides Rs 750 per hectare for the supply of gypsum pyrite lime or dolomite.
"What assistance does ISOPOM provide for micronutrient elements in deficient areas?",ISOPOM provides Rs 500 per hectare for the supply of micronutrient elements in deficient areas.
"What financial assistance is provided under the National Horticulture Mission for adopting organic farming?",The National Horticulture Mission provides Rs 10000 per hectare for adopting organic farming.
"What assistance does the National Horticulture Mission offer for a Vermi-Compost unit?",The National Horticulture Mission provides Rs 30000 per unit for a Vermi-Compost unit (for 1-hectare area).
"What financial assistance is offered under the Work Plan Organic Farming Scheme for a Vermi-Compost unit?",The Work Plan Organic Farming Scheme provides Rs 2500 per unit for a Vermi-Compost unit.
"What assistance is provided under the Work Plan Organic Farming Scheme for Biodynamic Compost?",The Work Plan Organic Farming Scheme provides Rs 250 per unit for Biodynamic Compost.
"What assistance does the Work Plan Organic Farming Scheme provide for C.P.P. Culture Units?",The Work Plan Organic Farming Scheme provides Rs 250 per unit for C.P.P. Culture Units.
"What financial assistance is offered for Polythene Vermi Beds under the Work Plan Organic Farming Scheme?",The Work Plan Organic Farming Scheme provides Rs 5000 per unit for Polythene Vermi Beds.
"What assistance does the Work Plan Organic Farming Scheme provide for Integrated Nutrient Management?",The Work Plan Organic Farming Scheme provides Rs 1000 per hectare for the promotion of Integrated Nutrient Management.
"What does the Soil Survey & Soil Testing scheme provide for testing soil samples of NPK?",The Soil Survey & Soil Testing scheme provides Rs 15 per sample for testing soil samples of NPK.
"What is the cost for testing micro nutrients under the Soil Survey & Soil Testing scheme?",The cost for testing micro nutrients under the Soil Survey & Soil Testing scheme is Rs 200 per sample.
"What is the cost for PH, EC, Physical & Chemical analysis under the Soil Survey & Soil Testing scheme?",The cost for PH EC Physical & Chemical analysis is Rs 250 per sample under the Soil Survey & Soil Testing scheme.
